ID,N_VICTIMAS,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO,FECHA_Y_HORA,FATAL
1319,1,Alvarez Thomas Av. 879,AVENIDA,13,-58.45448963,-34.57916920,AUTO,CAMION,2018-04-30 07:00:00,True
1320,1,Av. Gral. Paz y Av. Rivadavia,AUTOPISTA,9,-58.52927982,-34.63931752,PEATON,AUTO,2018-05-02 03:15:00,True
1321,1,Av. Corrientes y Av. Dorrego,AVENIDA,15,-58.44759966,-34.59170240,PEATON,PEATON,2018-05-08 19:00:00,True
1322,1,Rivadavia Av. y Pedernera,AVENIDA,7,-58.46411215,-34.62925068,PEATON,PEATON,2018-05-09 10:30:00,True
1323,1,Quesada 2300,CALLE,13,-58.46213220,-34.55395823,PEATON,AUTO,2018-05-11 19:15:00,True
1324,1,Cabildo Av. y Juramento Av.,AVENIDA,13,-58.45669422,-34.56203610,PEATON,PEATON,2018-05-14 18:45:00,True
1325,1,"California y Carbonari, Francisco, Cmte.",CALLE,4,-58.35977160,-34.64341878,PEATON,AUTO,2018-05-15 21:15:00,True
1326,1,"Carril, Salvador Maria Del Av. y Nazca",AVENIDA,15,-58.49820145,-34.59070093,PEATON,PEATON,2018-05-18 20:30:00,True
1327,1,San Luis y Aguero,CALLE,3,-58.41059280,-34.59939180,MOTO,AUTO,2018-05-20 02:30:00,True
1328,1,Lugones 2430,CALLE,12,-58.47969138,-34.57121563,PEATON,CICLISTA,2018-05-22 11:15:00,True
1329,1,Independencia Av. y Jujuy Av.,AVENIDA,3,-58.40351561,-34.61883916,MOTO,AUTO,2018-05-29 07:30:00,True
1330,1,Av. Rivadavia 11050,AVENIDA,9,-58.51973844,-34.63918987,PEATON,PEATON,2018-06-02 13:00:00,True
1331,1,Combate De Los Pozos y Humberto 1°,CALLE,3,-58.39311376,-34.62163006,MOTO,PEATON,2018-06-03 03:30:00,True
1332,1,Cordoba Av. y Thames,AVENIDA,15,-58.43531242,-34.59082159,MOTO,AUTO,2018-06-03 06:30:00,True
1333,1,"Garay, Juan De Av. y Sanchez De Loria",AVENIDA,5,-58.41178165,-34.63035454,MOTO,SD,2018-06-08 06:20:00,True
1334,1,"Lavalle y Alem, Leandro N. Av.",AVENIDA,1,-58.37048800,-34.60189492,PEATON,PEATON,2018-06-08 12:50:00,True
1335,1,Estados Unidos y Pichincha,CALLE,3,-58.39883882,-34.61964833,MOTO,MOTO,2018-06-10 11:15:00,True
1336,1,Rosario y Barco Centenera Del,CALLE,6,-58.44110156,-34.62082399,PEATON,CAMION,2018-06-14 01:00:00,True
1337,1,Av. Leandro N. Alem y Viamonte,AVENIDA,1,-58.37093138,-34.59952725,PEATON,PEATON,2018-06-16 21:15:00,True
1338,1,Varela Av. y Primera Junta,AVENIDA,7,-58.45855262,-34.63953253,AUTO,CAMION,2018-06-25 01:15:00,True
1339,1,"Pellegrini, Carlos y Juncal",CALLE,1,-58.38161909,-34.59283447,MOTO,CAMION,2018-06-26 17:30:00,True
1340,1,Av. Corrientes y Av. Federico Lacroze,AVENIDA,15,-58.45511899,-34.58698157,PEATON,PEATON,2018-06-28 11:00:00,True
1341,1,"Montes De Oca, Manuel y Finochietto Enrique Dr.",AVENIDA,4,-58.37724226,-34.62973033,PEATON,AUTO,2018-06-29 16:15:00,True
1342,1,"Carabobo Av. y Alberdi, Juan Bautista Av.",AVENIDA,7,-58.45546217,-34.62930339,MOTO,AUTO,2018-07-01 09:00:00,True
1343,1,"Córdoba Av. 2215

",AVENIDA,2,-58.39897064,-34.59954925,CICLISTA,PEATON,2018-07-04 21:45:00,True
1344,1,"Estados Unidos y Urquiza, Gral.",CALLE,3,-58.40917826,-34.62126274,MOTO,PEATON,2018-07-07 15:45:00,True
1345,1,Moreno y Av. Huergo,AVENIDA,1,-58.36726348,-34.61099738,MOTO,CAMION,2018-07-10 17:50:00,True
1346,1,"AU Dellepiane kilometro 0.0, altura calle Montiel, sentido hacia el Centro Porteño",AUTOPISTA,8,-58.48267426,-34.68454456,MOTO,CAMION,2018-07-11 13:15:00,True
1347,1,"Iriarte, Gral. Av. 3400",AVENIDA,4,-58.39546165,-34.65168841,PEATON,CAMION,2018-07-11 15:45:00,True
1348,1,AV. JUAN B. ALBERDI 2968,AVENIDA,7,-58.46941984,-34.63376545,AUTO,CAMION,2018-07-14 06:04:00,True
1349,1,Del Libertador Av. y Ortiz De Ocampo,AVENIDA,14,-58.40367321,-34.58129246,PEATON,AUTO,2018-07-15 07:30:00,True
1350,1,"Chavez, Jorge y Paz, Gral. Av.",CALLE,9,-58.52932872,-34.65014993,AUTO,CAMION,2018-07-16 09:30:00,True
1351,1,"Urquiza, Gral. y Estados Unidos",CALLE,3,-58.40917826,-34.62126274,AUTO,CAMION,2018-07-16 23:15:00,True
1352,1,Paraguay y Sánchez De Bustamante,CALLE,2,-58.41264127,-34.59473294,PEATON,AUTO,2018-07-21 06:15:00,True
1353,1,"De Los Corrales Av. y Paz, Gral. Av.",AUTOPISTA,9,-58.50877521,-34.66977709,PEATON,CAMION,2018-07-23 07:15:00,True
1354,1,"Alberdi, Juan Bautista Av. y Carhue",AVENIDA,9,-58.51232237,-34.65903530,PEATON,AUTO,2018-07-25 22:22:00,True
1355,1,Castañares Av. y Rivera Indarte Av.,AVENIDA,7,-58.44744156,-34.64567171,PEATON,SD,2018-07-29 06:30:00,True
1356,1,"Larrazabal y Garzon, Eugenio, Gral. Av.",AVENIDA,9,-58.49441273,-34.65869968,MOTO,CAMION,2018-08-01 15:53:00,True
1357,1,"Paz, Gral. Av. y Fernandez De La Cruz, F., Gral. Av.",AUTOPISTA,8,-58.47976785,-34.69153196,MOTO,CAMION,2018-08-02 05:20:00,True
1358,1,Av. Alicia Moreau de Justo y Cochabamba,AVENIDA,1,-58.36523349,-34.62260331,PEATON,CAMION,2018-08-03 07:25:00,True
1359,2,"Entre Rios Av. y Garay, Juan De Av.",AVENIDA,3,-58.39118948,-34.62704273,MOTO,PEATON,2018-08-03 18:16:00,True
1360,1,Directorio Av. y Guardia Nacional,AVENIDA,9,-58.49019551,-34.65015854,PEATON,PEATON,2018-08-10 21:44:00,True
1361,1,Pavon Av. Y Colombres,AVENIDA,5,-58.41644362,-34.63023775,PEATON,PEATON,2018-08-15 19:20:00,True
1362,1,Av. Gral. Paz y Av. Dr. Ricardo Balbín,AUTOPISTA,12,-58.50073810,-34.54979510,MOTO,CAMION,2018-08-17 16:36:00,True
1363,1,Pichincha Av. y Brasil,AVENIDA,4,-58.39626094,-34.63036565,PEATON,PEATON,2018-08-17 17:56:00,True
1364,1,27 De Febrero Av. y Pergamino,AVENIDA,8,-58.43284809,-34.67051543,MOTO,AUTO,2018-08-18 10:34:00,True
1365,1,AU Perito Moreno KM 1.8 ALTURA BARRAGAN SENTIDO PBA,AUTOPISTA,9,-58.52280139,-34.63659934,AUTO,AUTO,2018-08-19 18:47:00,True
1366,1,Cordoba Av. y Gascon,AVENIDA,14,-58.42336930,-34.59774487,MOTO,AUTO,2018-08-20 08:20:00,True
1367,1,15 De Noviembre De 1889 1513,CALLE,1,-58.38691681,-34.63105973,PEATON,PEATON,2018-08-20 08:41:00,True
1368,1,"Salguero, Jeronimo y Beruti",CALLE,14,-58.41169020,-34.58579880,MOTO,PEATON,2018-08-23 05:35:00,True
1369,1,"Lacarra Av. y Dellepiane, Luis, Tte. Gral.",AVENIDA,9,-58.46739825,-34.65117757,AUTO,AUTO,2018-08-26 00:59:00,True
1370,1,"AU Héctor J. Cámpora y Roca, Cnel. Av.",AUTOPISTA,8,-58.44483258,-34.67152226,PEATON,AUTO,2018-08-31 22:20:00,True
1371,1,Av. Varela y Av. Int. Francisco Rabanal,AVENIDA,8,-58.43254025,-34.66128115,AUTO,SD,2018-09-02 10:50:00,True
1372,2,Av. Gral. Paz e/ Ferre y Beron de Astrada,AUTOPISTA,8,-58.47199387,-34.69640164,AUTO,AUTO,2018-09-09 05:00:00,True
1373,1,Rivadavia Av. y Pedernera,AVENIDA,7,-58.46411215,-34.62925068,PEATON,PEATON,2018-09-12 14:25:00,True
