ID,N_VICTIMAS,LUGAR_DEL_HECHO,COMUNA,TIPO_DE_CALLE,LONGITUD,LATITUD,VICTIMA,ACUSADO,FATAL,FECHA_Y_HORA
2042,2,"BALBIN, RICARDO, DR. AV. Y CONGRESO AV. 0, BARRIO: COGHLAN  , JURISDICCIÓN COMISARIA:  VECINAL 12C",12,CALLE,-58.471429,-34.560095,SD,SD,False,2019-01-03 11:00:00
2043,1,"MOLIERE 400, BARRIO: VILLA LURO  , JURISDICCIÓN COMISARIA:  VECINAL 10B",10,CALLE,-58.502861,-34.634383,SD,SD,False,2019-01-03 13:44:00
2044,1,"REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA 0, BARRIO: BALVANERA  , JURISDICCIÓN COMISARIA:  VECINAL 3B",3,AVENIDA,-58.402885,-34.61544,MOTO,CAMION,False,2019-01-03 13:20:00
2045,1,"PAZ, GRAL. AV. Y DONADO 0, BARRIO: SAAVEDRA  , JURISDICCIÓN COMISARIA:  VECINAL 12A",12,CALLE,-58.49491,-34.547957,AUTO,PEATON,False,2019-01-03 14:02:00
2046,1,"SAN MARTIN AV. 1907, BARRIO: VILLA CRESPO  , JURISDICCIÓN COMISARIA:  VECINAL 15B",15,AVENIDA,-58.455131,-34.605272,SD,SD,False,2019-01-03 14:18:00
2047,1,"WASHINGTON Y BALBIN, RICARDO, DR. AV. 0, BARRIO: SAAVEDRA VIA PUBLICA , JURISDICCIÓN COMISARIA:  VECINAL 12A",12,CALLE,-58.480138,-34.556424,SD,SD,False,2019-01-03 12:38:00
2048,1,"ALCORTA, AMANCIO AV. Y MONTEAGUDO 0, BARRIO: NUEVA POMPEYA  , JURISDICCIÓN COMISARIA:  VECINAL 4B",4,AVENIDA,-58.403486,-34.648017,SD,SD,False,2019-01-03 12:40:00
2049,1,"ALBERDI, JUAN BAUTISTA AV. 7268, BARRIO: MATADEROS  , JURISDICCIÓN COMISARIA:  VECINAL 9A",9,AVENIDA,-58.514805,-34.66058,SD,SD,False,2019-01-03 16:30:00
2050,1,"ANCHORENA, TOMAS MANUEL DE, DR. 359, BARRIO: BALVANERA  , JURISDICCIÓN COMISARIA:  VECINAL 3A",3,AVENIDA,-58.411121,-34.606091,SD,SD,False,2019-01-03 11:00:00
2051,1,"ALBERDI, JUAN BAUTISTA AV. Y FONROUGE 0, BARRIO: MATADEROS  , JURISDICCIÓN COMISARIA:  VECINAL 9A",9,AVENIDA,-58.5013,-34.650495,SD,SD,False,2019-01-03 18:00:00
