,ID,N_VICTIMAS,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO,FECHA_Y_HORA,FATAL
20396,21703,1,LLAVALLOL y LASCANO,CALLE,11,-58.491039557041,-34.610155400957,AUTO,PEATON,2021-06-28 13:00:00,False
20397,21704,2,"CORRIENTES AV. y NEWBERY, JORGE AV.",AVENIDA,15,-58.450768435285,-34.588690532901,MOTO,AUTO,2021-06-28 12:00:00,False
20398,21705,1,"PERON, EVA AV. y PAZ, GRAL. AV.",AVENIDA,9,-58.502517906284,-34.674503135662,TRANSPORTE_PUBLICO,TRANSPORTE_PUBLICO,2021-06-28 04:00:00,False
20401,21708,1,ALLENDE y TINOGASTA,CALLE,11,-58.514329406822,-34.611701213739,MOTO,AUTO,2021-06-28 16:00:00,False
20402,21709,1,IRIGOYEN y ALVAREZ JONTE AV.,CALLE,10,-58.516380219314,-34.628449555267,MOTO,AUTO,2021-06-28 18:15:00,False
20403,21710,1,SARMIENTO y CASTELLI,CALLE,3,-58.404660935086,-34.606457861733,MOTO,AUTO,2021-06-28 20:30:00,False
20404,21711,3,"CARRANZA, ANGEL JUSTINIANO y EL SALVADOR",CALLE,14,-58.43740087526,-34.581709500021,AUTO,AUTO,2021-06-28 19:50:00,False
20405,21712,1,CORDOBA AV. y RIOBAMBA,AVENIDA,2,-58.394399397877,-34.599673313703,MOTO,AUTO,2021-06-28 20:21:00,False
20406,21713,2,"NAZCA AV. y ARANGUREN, JUAN F., DR.",AVENIDA,7,-58.472117034424,-34.625164552227,MOTO,AUTO,2021-06-28 21:10:00,False
20407,21714,1,LA RIOJA 39,CALLE,3,-58.409069254326,-34.610793378552,MOTO,PEATON,2021-06-28 21:40:00,False
20408,21715,2,"WARNES AV. y JUSTO, JUAN B. AV.",AVENIDA,15,-58.450876925698,-34.599308378433,MOTO,MOTO,2021-06-28 23:30:00,False
20409,21716,1,SARMIENTO 2788,CALLE,3,-58.405742903436,-34.606712715142,PEATON,MOTO,2021-06-28 12:21:00,False
20410,21717,1,"VARELA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",AVENIDA,8,-58.438504130889,-34.655547549545,TRANSPORTE_PUBLICO,TRANSPORTE_PUBLICO,2021-06-28 19:20:00,False
20411,21718,1,MIRAFLORES y COBO AV.,CALLE,7,-58.439226481324,-34.643119996907,MOTO,AUTO,2021-06-28 16:00:00,False
20412,21719,1,SD,CALLE,SD,-58.4175230279675,-34.621411348124994,PEATON,MOTO,2021-06-29 08:00:00,False
20414,21721,4,REMEDIOS y LARRAZABAL,CALLE,9,-58.495539863027,-34.657712864116,AUTO,AUTO,2021-06-29 10:00:00,False
20415,21722,1,"PAZ, GRAL. AV. y LOS CEDROS",AUTOPISTA,8,-58.488921759603,-34.683591639509,AUTO,AUTO,2021-06-29 10:40:00,False
20416,21723,2,SAN MARTIN AV. y NAVARRO,AVENIDA,15,-58.498383769399,-34.596367529388,AUTO,AUTO,2021-06-29 13:30:00,False
20417,21724,1,"VEGA, NICETO, CNEL. AV. y CARRANZA, ANGEL JUSTINIANO",AVENIDA,14,-58.441451367891,-34.585246976587,MOTO,AUTO,2021-06-29 10:20:00,False
20418,21725,1,GIRIBONE y CESPEDES,CALLE,15,-58.455581461752,-34.580401627279,MOTO,AUTO,2021-06-29 12:20:00,False
20419,21726,1,"SAN PEDRITO AV. y FALCON, RAMON L.,CNEL.",AVENIDA,7,-58.468991194585,-34.632154320814,MOTO,MOTO,2021-06-29 15:00:00,False
20420,21727,1,"ALBERDI, JUAN BAUTISTA AV. y GORDILLO, TIMOTEO",AVENIDA,9,-58.508775232972,-34.656707442937,AUTO,AUTO,2021-06-29 13:30:00,False
20422,21729,2,PIEDRAS y CHILE,CALLE,1,-58.37742922313,-34.616292288378,MOTO,AUTO,2021-06-29 16:15:00,False
20423,21730,1,ESTADOS UNIDOS 1341,CALLE,1,-58.384957213691,-34.618462162457,PEATON,AUTO,2021-06-29 15:00:00,False
20424,21731,1,"SCALABRINI ORTIZ, RAUL AV. y RAMIREZ DE VELASCO, JUAN",AVENIDA,15,-58.436596328125,-34.598485107235,MOTO,AUTO,2021-06-29 17:00:00,False
20425,21732,1,"HUERGO, ING. AV. e INDEPENDENCIA AV.",AVENIDA,1,-58.366596550438,-34.616877781292,MOTO,AUTO,2021-06-29 17:30:00,False
20426,21733,1,"DEL LIBERTADOR AV. y PAZ, GRAL. AV.",AVENIDA,13,-58.467434718017,-34.534768743446,TRANSPORTE_PUBLICO,TRANSPORTE_PUBLICO,,False
20428,21735,1,"CABILDO AV. y PINO, VIRREY DEL",AVENIDA,13,-58.452288587109,-34.566108624629,TRANSPORTE_PUBLICO,TRANSPORTE_PUBLICO,2021-06-29 14:30:00,False
20431,21738,1,"THAMES y VEGA, NICETO, CNEL.",CALLE,14,-58.434368178152,-34.590210237915,AUTO,AUTO,2021-06-30 00:00:00,False
20432,21739,1,SAN MARTIN AV. y CONDARCO,AVENIDA,15,-58.489526041864,-34.597296389154,MOTO,PEATON,2021-06-30 07:00:00,False
20433,21740,5,"JUSTO, JUAN B. AV. y CABRERA, JOSE A.",AVENIDA,14,-58.436675600269,-34.586787569032,TRANSPORTE_PUBLICO,AUTO,2021-06-30 10:00:00,False
20434,21741,1,CHICLANA AV. y BOEDO AV.,AVENIDA,5,-58.416165611246,-34.637503003733,MOTO,CAMION,2021-06-30 11:25:00,False
20435,21742,1,MANZANARES 3061,CALLE,12,-58.475558280566,-34.550314421106,MOTO,CAMION,2021-06-30 12:20:00,False
20436,21743,1,RODRIGUEZ PEÃ‘A 1582,CALLE,2,-58.390275706359,-34.591770107753,MOTO,AUTO,2021-06-30 13:45:00,False
20437,21744,1,CABILDO AV. y GOROSTIAGA,AVENIDA,13,-58.442957665413,-34.570915483727,PEATON,AUTO,2021-06-30 12:40:00,False
20438,21745,1,ALBERTI y CONSTITUCION,CALLE,3,-58.400183978427,-34.626170313854,MOTO,CAMION,2021-06-30 15:15:00,False
20439,21746,1,CHORROARIN AV. y GIRIBONE,AVENIDA,15,-58.469521447618,-34.579402961539,MOTO,PEATON,2021-06-30 17:00:00,False
20440,21747,1,"GOYENECHE, ROBERTO PARQUE AV. y LARRALDE, CRISOLOGO AV.",AVENIDA,12,-58.486085388374,-34.558507885967,MOTO,PEATON,2021-06-30 16:06:00,False
20441,21748,1,"ALVEAR, MARCELO T. DE y AZCUENAGA",CALLE,2,-58.400288425028,-34.596743493297,MOTO,AUTO,2021-06-30 17:15:00,False
20442,21749,1,CORDOBA AV. 3850,AVENIDA,5,-58.420961191165,-34.597928421295,MOTO,AUTO,2021-06-30 17:17:00,False
20443,21750,2,"PERON, EVA AV. y ACOSTA, MARIANO",AVENIDA,9,-58.467123116319,-34.646002228653,PEATON,MOTO,2021-06-30 19:30:00,False
20444,21751,1,"SCALABRINI ORTIZ, RAUL AV. y HONDURAS",AVENIDA,14,-58.425891883776,-34.591530773397,PEATON,TRANSPORTE_PUBLICO,2021-06-30 21:00:00,False
20448,21755,1,"CALVO, CARLOS y DEAN FUNES",CALLE,3,-58.406154023932,-34.621817784594,AUTO,AUTO,2021-07-01 02:03:00,False
20449,21756,1,"PAZ, GRAL. AV. y PERON, EVA AV.",AUTOPISTA,9,-58.502517906284,-34.674503135662,AUTO,AUTO,2021-07-01 12:25:00,False
20450,21757,2,CONDARCO 552,CALLE,7,-58.469340160065,-34.624976529904,MOTO,PEATON,2021-07-01 13:30:00,False
20451,21758,1,DIRECTORIO AV. y ALBARIÃ‘O,AVENIDA,9,-58.493357303392,-34.652807474852,PEATON,TRANSPORTE_PUBLICO,2021-07-01 13:30:00,False
20452,21759,1,MONROE 4867,CALLE,12,-58.483776836606,-34.572605396525,TRANSPORTE_PUBLICO,MOTO,2021-07-01 13:00:00,False
20453,21760,1,"ROCA, CNEL. AV. 3660",AVENIDA,8,-58.442065294854,-34.668451575794,AUTO,AUTO,2021-07-01 15:00:00,False
20454,21761,1,CONGRESO AV. y HOLMBERG,AVENIDA,12,-58.480840544637,-34.564861919151,AUTO,AUTO,2021-07-01 15:00:00,False
20455,21762,1,"SAN JUAN BAUTISTA DE LA SALLE AV. y BILBAO, FRANCISCO",AVENIDA,9,-58.483308186093,-34.653319400477,MOTO,PEATON,2021-07-01 16:30:00,False
20456,21763,1,FERNANDEZ y DERQUI AV.,CALLE,9,-58.470114801926,-34.651174287417,MOTO,AUTO,2021-07-01 18:00:00,False
20457,21764,2,"CARRIL, SALVADOR MARIA DEL AV. y ESTADO PLURINACIONAL DE BOLIVIA",AVENIDA,15,-58.49479351485,-34.588594223749,AUTO,AUTO,2021-07-01 19:40:00,False
20458,21765,2,MEXICO y BOLIVAR,CALLE,1,-58.373187727133,-34.614853718143,AUTO,AUTO,2021-07-01 19:45:00,False
20459,21766,1,CORRIENTES AV. y URUGUAY,AVENIDA,1,-58.386525898382,-34.603992269934,MOTO,TRANSPORTE_PUBLICO,2021-07-01 20:30:00,False
20460,21767,3,MAZA y CASEROS AV.,CALLE,5,-58.413194195985,-34.638429433295,AUTO,AUTO,2021-07-01 22:20:00,False
20461,21768,1,"ALCORTA, AMANCIO AV. 1501",AVENIDA,4,-58.384843717409,-34.63455155701,MOTO,AUTO,2021-07-01 19:30:00,False
20462,21769,1,DEL LIBERTADOR AV. y ECHEVERRIA,AVENIDA,13,-58.446871975618,-34.55763691552,MOTO,AUTO,2021-07-01 23:38:00,False
20463,21770,1,"RAMIREZ DE VELASCO, JUAN y ACEVEDO",CALLE,15,-58.438352781119,-34.596614392847,TRANSPORTE_PUBLICO,TRANSPORTE_PUBLICO,2021-07-01 18:35:00,False
20466,21773,3,"AMENABAR y HERNANDEZ, JOSE",CALLE,13,-58.455434166775,-34.566785079276,AUTO,AUTO,2021-07-02 06:30:00,False
20467,21774,2,"AZOPARDO y GARAY, JUAN DE AV.",CALLE,1,-58.366620459628,-34.624026616065,TRANSPORTE_PUBLICO,TRANSPORTE_PUBLICO,2021-07-02 07:30:00,False
20468,21775,1,GALLARDO 257,CALLE,9,-58.523774826519,-34.636431771753,MOTO,AUTO,2021-07-02 10:00:00,False
20469,21776,1,"DEL LIBERTADOR AV. y BULLRICH, INT. AV.",AVENIDA,14,-58.423246998572,-34.571168288888,MOTO,AUTO,2021-07-02 10:50:00,False
